"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202301","4호선","동대문","208","5","3619","1894","2343","11171","4123","28186","5411","62896","8786","56102","14211","47913","19540","44930","25158","39322","30883","37120","38703","34835","46961","29562","56577","22344","75485","16986","53873","14998","27738","15460","19990","10210","22253","6722","11991","4816","5113","4472","663","1068","3","116","0","0","0","0","20230203"
"202301","4호선","동대문역사문화공원(DDP)","311","0","4560","1446","3670","11621","6269","25459","9605","61567","11056","32991","13050","25229","16150","24576","19149","23889","21547","24839","26566","24866","32984","22130","39207","20710","56053","20863","74299","22126","38488","21248","29014","13602","27350","11749","20325","9045","10022","5828","1713","1918","17","81","0","0","0","0","20230203"
"202301","4호선","동작(현충원)","3","0","203","110","411","1537","1335","2720","2051","4344","1637","2591","1332","2305","1538","1704","1630","1776","1729","2186","1851","2149","2487","2046","3302","1835","4177","2120","3957","2415","1465","1611","1188","1911","915","775","646","632","264","459","31","275","2","87","0","2","0","0","20230203"
"202301","4호선","명동","42","10","1105","869","2877","14287","5095","41014","8867","102145","15541","66853","21589","44550","27621","44821","29951","48042","32421","49087","37787","46377","47365","45652","55910","46231","74276","47456","115031","44576","61601","31135","53183","21223","47984","16741","36140","11612","12707","6561","993","2098","13","133","0","0","0","0","20230203"
"202301","4호선","미아(서울사이버대학)","50","8","9688","1439","18432","5769","40536","9770","46622","27449","30324","17333","22621","14981","21382","14606","23792","16061","23523","17815","21263","19387","20159","23468","22247","25463","24342","31810","26045","42461","14763","36581","10576","22638","8088","19906","6788","17915","2445","11609","358","3082","5","40","0","0","0","0","20230203"
"202301","4호선","미아사거리","59","0","13565","2032","32439","7168","80624","12778","88385","28468","55627","28311","40608","25322","37970","27289","39881","30278","39905","32769","39238","37396","39302","44545","40963","51389","39789","63826","41099","95589","29122","75903","28028","44669","17290","41325","13273","36900","6442","20627","1061","5294","13","52","0","0","0","0","20230203"
"202301","4호선","사당","110","53","9264","1130","23066","16732","63625","20187","74747","30941","62992","25042","40646","22376","34140","29264","36680","30015","35790","27631","35389","27999","34605","32467","37271","42899","43150","59603","47652","89654","32199","58465","30412","32452","33189","29126","29469","26845","14391","17736","1560","5073","12","535","0","2","0","0","20230203"
"202301","4호선","삼각지","2","0","601","320","1989","4659","6350","12475","9027","19254","5612","9970","4651","8053","4897","8975","6160","10141","7165","9835","7350","9136","8402","9586","10194","11385","15344","14388","22177","19697","10185","11904","9523","6588","11003","5085","10438","4730","5669","3146","797","1144","1","24","0","0","0","0","20230203"
"202301","4호선","상계","34","0","12257","269","32435","6498","77459","9189","66051","18310","39206","15641","28723","13849","26134","15156","27826","18661","26892","20849","23778","21320","22584","25665","24304","31301","24709","40204","22361","59245","14274","57072","10775","33219","9863","30517","10251","27570","3067","19155","486","4888","9","534","0","11","0","0","20230203"
"202301","4호선","서울역","230","2","3804","837","5365","13162","11103","36052","13680","77912","11604","47499","10822","26218","12931","24605","13961","30017","13572","29019","13906","27530","15319","30249","19231","32568","41439","37723","57343","38002","23057","29128","14516","20439","12592","18262","9211","14665","4065","8163","619","2648","12","277","0","7","0","0","20230203"
"202301","4호선","성신여대입구(돈암)","28","3","5452","1528","16411","6626","40670","12707","46933","28492","31333","24443","25140","20138","25303","20697","29888","24898","30334","28388","29569","27280","31019","30265","34860","35130","40280","45341","42355","63428","26093","49599","23791","30773","26021","28383","23325","25331","10604","16860","1622","5428","21","42","1","1","0","0","20230203"
"202301","4호선","수유(강북구청)","102","8","18798","2647","42460","9962","100164","17585","110153","50732","70465","35177","50095","28992","46911","31860","50434","34991","50327","39947","46941","42690","46558","49992","50300","62842","54245","81049","60308","116332","35179","107673","27405","63929","24573","57687","20233","52087","11342","34866","1935","8425","40","87","0","0","0","0","20230203"
"202301","4호선","숙대입구(갈월)","9","4","2548","533","6994","6336","16113","17846","23075","41240","17398","24316","14286","16144","14274","15341","18456","15655","17414","16603","17915","16278","19149","17169","23526","20160","33156","27383","44763","35191","21687","23516","18563","14372","18290","12861","16028","11884","8232","7196","1128","1957","13","41","0","0","0","0","20230203"
"202301","4호선","신용산","9","2","1631","891","4318","11596","10590","33296","15295","87332","12267","64537","11939","31647","15847","24996","17393","26062","20823","27097","21263","26277","27748","25252","36160","28252","59618","33504","92626","39997","43955","23258","34340","12656","33607","9853","25359","7559","11378","4010","1492","1205","37","47","0","1","0","0","20230203"
"202301","4호선","쌍문","210","23","20323","1039","46048","7834","111741","12088","115721","24589","70726","19869","49370","18670","42982","21093","44834","24866","41269","28209","36704","30330","33669","38508","34370","48323","35751","63493","33039","95703","20644","94870","15551","55645","13110","50638","9305","46205","4524","30552","579","8608","12","98","0","0","0","0","20230203"
